epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,5934.49,1.1077,0.79408,1.33097,0.947,0.94721,0.94903,0.7912,0.68401,0.43718,1.00684,0.00774737,0.00774737,0.00774737
65,6024.76,1.13726,0.80339,1.33285,0.95499,0.92509,0.94863,0.75178,0.75403,0.46892,1.06891,0.00768145,0.00768145,0.00768145
66,6109.74,1.12368,0.78679,1.32661,0.94423,0.91456,0.95879,0.79718,0.66084,0.45675,1.00281,0.00761488,0.00761488,0.00761488
67,6207.27,1.13612,0.81326,1.34388,0.9528,0.79456,0.88895,0.6754,0.84512,0.75058,1.10423,0.00754766,0.00754766,0.00754766
68,6296.92,1.10332,0.75831,1.31866,0.96751,0.93365,0.95243,0.77268,0.70655,0.4343,1.01846,0.00747982,0.00747982,0.00747982
69,6383.77,1.11589,0.77155,1.32065,0.98167,0.93615,0.96299,0.78658,0.72222,0.7666,1.03019,0.00741136,0.00741136,0.00741136
70,6472.2,1.1081,0.77683,1.31983,0.8611,0.85828,0.90042,0.6524,0.81389,0.63313,1.12219,0.00734231,0.00734231,0.00734231
71,6561.67,1.11058,0.77063,1.32814,0.88108,0.94366,0.94375,0.75166,0.68194,0.49766,1.0434,0.00727268,0.00727268,0.00727268
72,6657.57,1.12245,0.79277,1.33132,0.96176,0.91656,0.94952,0.77615,0.65972,0.48201,1.01937,0.0072025,0.0072025,0.0072025
73,6754.26,1.10797,0.77314,1.31825,0.96851,0.94359,0.96035,0.7969,0.61863,0.4469,0.99347,0.00713177,0.00713177,0.00713177
74,6843.79,1.09839,0.76341,1.3166,0.96152,0.92544,0.95053,0.80946,0.61597,0.438,0.99778,0.00706051,0.00706051,0.00706051
75,6939.51,1.10615,0.76004,1.31518,0.89064,0.35051,0.53382,0.33296,1.45692,2.8098,1.62628,0.00698875,0.00698875,0.00698875
76,7036.95,1.09372,0.75241,1.30795,0.96186,0.94623,0.96486,0.81008,0.62163,0.422,0.97198,0.0069165,0.0069165,0.0069165
77,7128.19,1.09487,0.76516,1.30476,0.89918,0.75741,0.84139,0.60459,0.9481,0.70338,1.1706,0.00684378,0.00684378,0.00684378
78,7217.65,1.07541,0.74528,1.30621,0.94073,0.89556,0.956,0.74445,0.67141,0.48795,1.00985,0.00677061,0.00677061,0.00677061
79,7314.96,1.06772,0.72514,1.29695,0.94524,0.92851,0.92759,0.80579,0.59777,0.43402,0.98219,0.006697,0.006697,0.006697
80,7416.32,1.08419,0.73319,1.30271,0.85323,0.52557,0.69182,0.46556,1.22427,1.801,1.34572,0.00662297,0.00662297,0.00662297
81,7495.07,1.07604,0.73168,1.29792,0.94799,0.92573,0.93267,0.81368,0.64305,0.41781,0.98868,0.00654854,0.00654854,0.00654854
82,7582.84,1.10278,0.74685,1.31851,0.94487,0.94595,0.94775,0.7873,0.63381,0.43329,1.007,0.00647373,0.00647373,0.00647373
83,7669.09,1.06329,0.7302,1.29269,0.96854,0.92604,0.93945,0.77518,0.72404,0.45269,1.00995,0.00639856,0.00639856,0.00639856
84,7766.93,1.08205,0.73739,1.30901,0.78327,0.76977,0.82101,0.63287,0.76017,0.58616,1.07496,0.00632305,0.00632305,0.00632305
85,7852.75,1.04423,0.70772,1.28238,0.9172,0.93525,0.945,0.78742,0.65257,0.43506,0.98982,0.00624721,0.00624721,0.00624721
86,7939.3,1.06138,0.72389,1.29253,0.93156,0.94359,0.95012,0.79149,0.61947,0.52803,0.9775,0.00617106,0.00617106,0.00617106
87,8041.13,1.05932,0.72692,1.28905,0.92571,0.91803,0.95014,0.74762,0.71574,0.52924,1.03378,0.00609463,0.00609463,0.00609463
88,8132.04,1.06707,0.73417,1.30026,0.93125,0.94765,0.95323,0.78618,0.62075,0.42965,0.97805,0.00601792,0.00601792,0.00601792
89,8221.58,1.04982,0.71619,1.28497,0.80419,0.77518,0.83464,0.65384,0.82259,0.72495,1.07983,0.00594097,0.00594097,0.00594097
