epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,58737.7,0.7415,0.44368,1.10113,0.98873,0.93939,0.96169,0.86077,0.51366,0.30856,0.90032,0.00028475,0.00028475,0.00028475
80,59137.1,0.70309,0.42383,1.08165,0.98959,0.93939,0.96932,0.88416,0.46873,0.29,0.88306,0.000272375,0.000272375,0.000272375
81,59653.9,0.72141,0.4339,1.09245,0.98957,0.94027,0.9661,0.87194,0.48516,0.29471,0.88195,0.00026,0.00026,0.00026
82,60165.2,0.69832,0.41899,1.07256,0.99018,0.94044,0.96524,0.87338,0.49444,0.3031,0.8982,0.000247625,0.000247625,0.000247625
83,60602.6,0.68817,0.42387,1.07536,0.98889,0.94018,0.9645,0.87332,0.48135,0.31545,0.89243,0.00023525,0.00023525,0.00023525
84,61099.5,0.70292,0.42975,1.08202,0.99014,0.94016,0.96775,0.8816,0.47098,0.28747,0.88611,0.000222875,0.000222875,0.000222875
85,61631,0.69112,0.41598,1.07724,0.99054,0.94039,0.96306,0.87456,0.50071,0.30063,0.894,0.0002105,0.0002105,0.0002105
86,62112.4,0.70454,0.42547,1.07607,0.98947,0.93939,0.96348,0.85954,0.53515,0.29718,0.90026,0.000198125,0.000198125,0.000198125
87,62532,0.67815,0.41231,1.07197,0.99021,0.93939,0.96767,0.8712,0.49905,0.2935,0.89072,0.00018575,0.00018575,0.00018575
88,62967.9,0.68476,0.41045,1.06925,0.99022,0.93939,0.96675,0.88088,0.48687,0.29364,0.88634,0.000173375,0.000173375,0.000173375
89,63383.3,0.6793,0.4074,1.06962,0.99006,0.94056,0.97188,0.87289,0.47502,0.28732,0.88158,0.000161,0.000161,0.000161
90,63835.6,0.65626,0.40391,1.05927,0.99117,0.94082,0.96342,0.87258,0.50836,0.28885,0.88958,0.000148625,0.000148625,0.000148625
91,64335.1,0.50017,0.28702,0.95731,0.98433,0.94516,0.96339,0.87517,0.51451,0.31236,0.9004,0.00013625,0.00013625,0.00013625
92,64742.2,0.48029,0.26382,0.96042,0.98468,0.94509,0.96522,0.87241,0.49687,0.33818,0.88735,0.000123875,0.000123875,0.000123875
93,65220.9,0.46224,0.2543,0.94055,0.99002,0.94085,0.96509,0.87068,0.52473,0.30275,0.90142,0.0001115,0.0001115,0.0001115
94,65723.3,0.46709,0.25525,0.95338,0.98966,0.94048,0.9648,0.88426,0.49463,0.30051,0.89118,9.9125e-05,9.9125e-05,9.9125e-05
95,66228.5,0.45605,0.24525,0.9295,0.99008,0.94074,0.96235,0.86893,0.49781,0.29315,0.88713,8.675e-05,8.675e-05,8.675e-05
96,66723.6,0.45642,0.24727,0.93168,0.98962,0.93939,0.96277,0.88052,0.48469,0.29522,0.88202,7.4375e-05,7.4375e-05,7.4375e-05
97,67140.9,0.44085,0.24143,0.93247,0.98976,0.93939,0.96234,0.8843,0.4786,0.29137,0.87912,6.2e-05,6.2e-05,6.2e-05
98,67550.1,0.43546,0.23674,0.93148,0.98939,0.93939,0.96178,0.88486,0.47336,0.27984,0.8776,4.9625e-05,4.9625e-05,4.9625e-05
99,67971.5,0.42835,0.23384,0.91679,0.98951,0.93939,0.96282,0.87923,0.4876,0.2865,0.88436,3.725e-05,3.725e-05,3.725e-05
100,68388.9,0.43698,0.2389,0.92927,0.98956,0.93939,0.96179,0.88249,0.48032,0.28207,0.88103,2.4875e-05,2.4875e-05,2.4875e-05
